filename,x,y,slice_numbers
8e35782c-db2a-404f-bde0-c0cb51274995,418.3814076724121,196.95206213820916,"141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157"
8e35782c-db2a-404f-bde0-c0cb51274995,366.8893638702391,233.38954447575554,"131,132,133,134,135,136,137,138,139,140,141"
8e35782c-db2a-404f-bde0-c0cb51274995,419.56495951873643,195.65738048094263,"142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,156"
8e35782c-db2a-404f-bde0-c0cb51274995,363.47239037600326,234.4046622709276,"133,134,135,136,137,137,138,139,140"
8e35782c-db2a-404f-bde0-c0cb51274995,400.6825396825397,170.34920634920636,"140,141,142"
8e35782c-db2a-404f-bde0-c0cb51274995,419.0373180404214,196.5577746054553,"141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157"
8e35782c-db2a-404f-bde0-c0cb51274995,365.784729703033,233.83517272062593,"133,134,135,136,137,138,139,140"
8e35782c-db2a-404f-bde0-c0cb51274995,366.44200539970797,234.13701596956466,"131,132,133,134,135,136,137,138,139,140"
016b25e6-a905-4dc4-8a7b-d30e1266e875,315.0319550189736,366.14916009491265,"47,46,45,44,43,42,41,40"
016b25e6-a905-4dc4-8a7b-d30e1266e875,316.3384562167682,367.84427441873066,"40,41,42,43,44,45,46"
016b25e6-a905-4dc4-8a7b-d30e1266e875,316.29153592268915,367.0846378818508,"40,41,42,43,44,45,46,47"
016b25e6-a905-4dc4-8a7b-d30e1266e875,316.59269429670303,366.56996492284816,"39,40,41,42,43,44,45,46,47"
93bda773-91d0-4f22-b44d-b7512a32152f,145.12927293229214,280.61908656212177,"69,70,71,72,73,74,75,75,76,77,77,78,78,79,79,80,81,82,83,84,85,86,87,88,88,89,90,91,92"
93bda773-91d0-4f22-b44d-b7512a32152f,144.67888737252002,280.3373661531846,"71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90"
93bda773-91d0-4f22-b44d-b7512a32152f,144.70397296667952,280.12572900692305,"71,72,73,74,75,76,76,77,78,79,79,80,81,82,83,84,85,86,87,88,89,90,91"
93bda773-91d0-4f22-b44d-b7512a32152f,144.77910867314236,279.78217420396373,"69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93"
f0774dfa-9313-49f2-9650-5c12ae3a3cbb,375.1221532091097,226.96376811594203,"54,53"
f0774dfa-9313-49f2-9650-5c12ae3a3cbb,130.29444444444442,186.91666666666669,"63,64"
